Ticker,timestamp,Date,Error,data_source,last_price,volume,price_source,quote_time,trade_time,quote_age_sec,is_market_open,market_status,price_history_status,hv_status,IV_7_D_Call,IV_14_D_Call,IV_21_D_Call,IV_30_D_Call,IV_60_D_Call,IV_90_D_Call,IV_120_D_Call,IV_150_D_Call,IV_180_D_Call,IV_270_D_Call,IV_360_D_Call,IV_720_D_Call,IV_1080_D_Call,IV_7_D_Put,IV_14_D_Put,IV_21_D_Put,IV_30_D_Put,IV_60_D_Put,IV_90_D_Put,IV_120_D_Put,IV_150_D_Put,IV_180_D_Put,IV_270_D_Put,IV_360_D_Put,IV_720_D_Put,IV_1080_D_Put,hv_10,hv_20,hv_30,hv_60,hv_90,HV_10_D_Cur,HV_20_D_Cur,HV_30_D_Cur,HV_60_D_Cur,HV_90_D_Cur,HV_120_D_Cur,HV_150_D_Cur,HV_180_D_Cur,hv_slope,volatility_regime,HV_EWMA,highPrice,lowPrice,openPrice,closePrice,52WeekHigh,52WeekLow,netChange,netPercentChange,dividendDate,dividendYield,snapshot_ts,VVIX,VIX,SPY_Change_Pct,Snapshot_Age_Hours,Snapshot_Age_Trading_Days,Stock_Price,Stock_Price_Source,YF_Demand_Status,Resolution_Path,iv_7d,iv_14d,iv_21d,iv_30d,iv_60d,iv_90d,iv_120d,iv_180d,iv_360d,IV_History_Count,IV_Maturity_Level,IV_Rank_20D,IV_Rank_30D,IV_Rank_60D,IV_Rank_252D,IV_7D_5D_ROC,IV_30D_5D_ROC,IV_30D_10D_ROC,IV_90D_10D_ROC,IV_30D_Mean_30,IV_30D_Std_30,IV_30D_ZScore_30,Slope_30_7,Slope_30_21,Slope_90_30,Slope_180_90,Surface_Steepness,Surface_Shape,IV_Regime,Structural_IV_Cycle,LongTerm_ZScore,IV_Rank_Source,Regime_Days_In,IV_Trend_7D,HV_Accel_Proxy,IV_Maturity_State,Regime,HV_Trend_30D,Recent_Vol_Spike,Regime_Original,Regime_Adjusted,VVIX_Override_Applied,VVIX_Flag,IV_Timing_State,IV_Chase_Risk,Trend_State,Price_vs_SMA20,Price_vs_SMA50,Volume_Trend,ADX,RSI,Trend_Strength,RV_10D,RV_Calculated,Step2_Warning,RV_IV_Ratio,OHLC_Status,OHLC_Bar_Count,OHLC_Last_Date,Chart_Pattern,Pattern_Confidence,Candlestick_Pattern,Entry_Timing_Quality,Reversal_Confirmation,Signal_Type,intraday_range_pct,gap_pct,intraday_position_pct,compression_tag,gap_tag,intraday_position_tag,pct_from_52w_high,pct_from_52w_low,52w_range_position,52w_regime_tag,52w_strategy_context,net_change,net_percent_change,momentum_tag,entry_timing_context,days_to_earnings,earnings_proximity_flag,IVHV_gap_30D
BKNG,2026-03-05 09:34:02.008,2026-03-05,,schwab,4589.58,428730.0,lastPrice,2026-03-05 17:33:32.189,2026-03-05 17:34:02.008,0.0,True,OPEN,OK,COMPUTED,38.504,38.376,,37.849,35.854,34.376,33.559,,32.823,,31.727,,,,,,,,,,,,,,,,55.923552036427715,55.66597768727692,54.3561504755204,40.75288674771771,38.16424718914743,55.923552036427715,55.66597768727692,54.3561504755204,40.75288674771771,38.16424718914743,35.62175537260027,32.94916395742011,31.043305733535565,1.5674015609073138,High_Compression,53.30254941538058,4634.09,4472.2,4511.1,4253.58,5839.414,3765.45,336.0,7.89922841,,,2026-03-05 09:34:02.008,,,,8.709604192222223,0,4589.58,SCHWAB_LAST_PRICE,NOT_NEEDED,,40.97,37.425,37.035,35.847,37.316,35.409,34.356,33.788,32.034,41.0,2.0,10.0,40.0,,,0.006164198531398061,-0.061080698813483866,-0.1732321601549886,-0.14034959941733427,36.29723333333333,6.05136599958386,-0.07440193393760869,-5.1229999999999976,-1.1879999999999953,-0.4380000000000024,-1.6210000000000022,-8.936,INVERTED,,,,ROLLING_20D,0,Falling,Unknown,PARTIAL_MATURE,Compression,Unknown,False,Compression,Compression,False,NORMAL,BASELINE,LOW,Neutral,0.9013462669338828,-12.099443654808915,Falling,39.563590170384906,43.65455852955003,Strong,55.59343581235039,True,,1.4688217868992681,OK,125,2026-03-04,,0.0,,,False,Bidirectional,3.5273380135001533,6.05419434923054,72.50602260794359,NORMAL,GAP_UP,NEAR_HIGH,21.403414794703714,21.886627096362986,39.7369481823214,MID_RANGE,NEUTRAL,336.0,7.89922841,STRONG_UP_DAY,LATE_LONG,,False,-16.507150475520405
AZO,2026-03-05 09:34:02.008,2026-03-05,,schwab,3705.775,40940.0,lastPrice,2026-03-05 17:34:00.136,2026-03-05 17:34:00.454,1.554,True,OPEN,OK,COMPUTED,,31.42,,29.7060055351968,,29.755,29.755,,28.591,,29.037,,,,,,,,,,,,,,,,47.36989062186077,39.09213260846832,33.563596130741075,32.793796606677994,29.207939385515807,47.36989062186077,39.09213260846832,33.563596130741075,32.793796606677994,29.207939385515807,27.508519882606507,26.05152256942012,25.713488169426142,13.806294491119694,Normal_Expansion,37.169443653071944,3721.05,3666.3,3685.72,3717.0,4388.11,3210.72,-11.225,-0.30199085,,,2026-03-05 09:34:02.008,,,,8.709604192222223,0,3705.775,SCHWAB_LAST_PRICE,NOT_NEEDED,,,31.238,31.238,30.098190633503442,,29.641,29.641,28.481,29.328,31.0,2.0,15.0,43.333333333333336,,,,-0.18365865922205435,-0.2006004984328852,,30.331584253547824,5.956699255064019,-0.03918170282744503,,-1.1398093664965572,-0.45719063350344413,-1.1599999999999966,,INVERTED,,,,ROLLING_20D,0,Falling,Unknown,PARTIAL_MATURE,Compression,Unknown,False,Compression,Compression,False,NORMAL,BASELINE,LOW,Neutral,-0.3579019775887071,3.1575364614850248,Stable,13.875869737621752,50.52112595320878,Weak,46.713996986943044,True,,1.5725438727059593,OK,125,2026-03-04,,0.0,,,False,Bidirectional,1.4774237507673833,0.841538875437186,72.10045662100441,NORMAL,NO_GAP,NEAR_HIGH,15.549632985499443,15.418815717346899,42.04681541375418,MID_RANGE,NEUTRAL,-11.225,-0.30199085,FLAT_DAY,EARLY,,False,-3.8575905955442735
MELI,2026-03-05 09:34:02.008,2026-03-05,,schwab,1774.555,221459.0,lastPrice,2026-03-05 17:33:58.314,2026-03-05 17:33:58.481,3.527,True,OPEN,OK,COMPUTED,44.037,41.816,,38.905,40.102,41.342,40.497,,41.181,,40.025,,,,,,,,,,,,,,,,62.760352414925144,47.62837619903253,46.419339954904174,41.80047622961262,42.9339963725414,62.760352414925144,47.62837619903253,46.419339954904174,41.80047622961262,42.9339963725414,43.8720379750657,41.214923953722725,39.05055717937813,16.34101246002097,High_Expansion,47.19433290925092,1810.62,1769.03,1769.7,1769.03,2645.22,1654.24,5.525,0.31231805,,,2026-03-05 09:34:02.008,,,,8.709604192222223,0,1774.555,SCHWAB_LAST_PRICE,NOT_NEEDED,,42.621,41.183,42.13,39.861,39.735,42.736,40.543,41.463,39.799,41.0,2.0,30.0,30.0,,,0.09794172956541898,0.005118765444550806,-0.22527792894348134,-0.05591269578279996,44.37033333333333,6.029887362894558,-0.7478304422536828,-2.760000000000005,-2.2690000000000055,2.875,-1.2729999999999961,-2.8220000000000027,INVERTED,,,,ROLLING_20D,0,Rising,Unknown,PARTIAL_MATURE,Compression,Unknown,False,Compression,Compression,False,NORMAL,BASELINE,LOW,Bearish,-7.918773138659533,-12.912267760550119,Falling,32.021835891255684,35.63503714183384,Strong,60.78112189300025,True,,1.5622958975196053,OK,125,2026-03-04,,0.0,,,False,Bearish,2.3436861635733983,0.03787386307750987,13.284443375811739,NORMAL,NO_GAP,NEAR_LOW,32.914653601590786,7.273128445691075,12.14101192758684,NEAR_52W_LOW,CONTRARIAN,5.525,0.31231805,FLAT_DAY,EARLY,,False,-7.514339954904173
MKL,2026-03-05 09:34:02.008,2026-03-05,,schwab,2017.695,11281.0,lastPrice,2026-03-05 17:33:38.058,2026-03-05 17:33:14.241,47.767,True,OPEN,OK,COMPUTED,,22.263,,20.932293687028185,,,18.976,,22.773,,,,,,,,,,,,,,,,,,13.872497359439754,15.33984477421766,13.83670320492884,13.407816430127603,17.10102265826595,13.872497359439754,15.33984477421766,13.83670320492884,13.407816430127603,17.10102265826595,16.83270939110665,17.874622100194067,17.575877265942967,0.0357941545109135,Low_Compression,13.925758757395728,2042.33,2017.695,2030.75,2040.25,2207.59,1621.893,-22.555,-1.10550178,,,2026-03-05 09:34:02.008,,,,8.709604192222223,0,2017.695,SCHWAB_LAST_PRICE,NOT_NEEDED,,,22.351,22.351,20.819655256940667,,,19.081,22.726,,31.0,2.0,55.0,70.0,,,,0.023663016435355268,-0.028888695510953546,,19.877309833128038,1.809883282172736,0.5206664060023575,,-1.531344743059332,,,,INVERTED,,,,ROLLING_20D,0,Stable,Unknown,PARTIAL_MATURE,Compression,Unknown,False,Compression,Compression,False,NORMAL,BASELINE,LOW,Bearish,-1.639881683420007,-2.4659887035034984,Stable,14.082990608486423,41.76545395970834,Weak,12.916706404966135,True,,0.617070761479458,OK,125,2026-03-04,,0.0,Hammer,Strong,True,Bearish,1.2209476655292297,0.4656292121063595,0.0,NORMAL,NO_GAP,NEAR_LOW,8.601914304739566,24.403706039794233,67.57794559302845,MID_RANGE,NEUTRAL,-22.555,-1.10550178,NORMAL,MODERATE,,False,7.095590482099345
FCNCA,2026-03-05 09:34:02.008,2026-03-05,,schwab,1935.54,35252.0,lastPrice,2026-03-05 17:32:44.653,2026-03-05 17:33:49.238,12.77,True,OPEN,OK,COMPUTED,,34.766,,31.76335332243298,33.685,33.685,,,31.396,,,,,,,,,,,,,,,,,,36.24303773410415,34.8686505754259,41.87377250012489,32.75500994212198,29.01346708423049,36.24303773410415,34.8686505754259,41.87377250012489,32.75500994212198,29.01346708423049,30.46983747503944,29.98331641008341,29.146434843773793,-5.630734766020744,High,35.793538929938066,1979.735,1935.54,1972.87,1972.87,2232.21,1473.62,-37.33,-1.89216725,,,2026-03-05 09:34:02.008,,,,8.709604192222223,0,1935.54,SCHWAB_LAST_PRICE,NOT_NEEDED,,,36.215,36.215,32.125964063355354,33.351,33.351,,31.255,,31.0,2.0,70.0,80.0,,,,-0.06750935645391615,0.10421269207930683,0.13655261723009807,29.274013574453843,3.148883026478314,0.905702264872986,,-4.089035936644649,1.2250359366446446,-2.096,,INVERTED,,,,ROLLING_20D,0,Stable,Unknown,PARTIAL_MATURE,Compression,Unknown,False,Compression,Compression,False,NORMAL,BASELINE,LOW,Bearish,-2.9830617327540754,-5.70029339513454,Stable,27.176250578681838,43.69337400923387,Strong,34.99826244978204,True,,1.1018440683674413,OK,125,2026-03-04,,0.0,,,False,Bearish,2.283342116411954,0.0,0.0,NORMAL,NO_GAP,NEAR_LOW,13.290416224279976,31.34593721583584,60.89191790031505,MID_RANGE,NEUTRAL,-37.33,-1.89216725,NORMAL,MODERATE,,False,-10.110419177691913
FICO,2026-03-05 09:34:02.008,2026-03-05,,schwab,1474.01,62410.0,lastPrice,2026-03-05 17:34:01.970,2026-03-05 17:33:58.078,3.93,True,OPEN,OK,COMPUTED,,52.723,,50.741481520124566,52.487,48.255,46.204,,46.593,,50.28,,,,,,,,,,,,,,,,59.51927308153409,45.0270760349045,48.04058122317544,41.023329734845255,39.97879617302998,59.51927308153409,45.0270760349045,48.04058122317544,41.023329734845255,39.97879617302998,46.92466453247439,45.62867180325913,45.044791027516794,11.478691858358651,High_Expansion,46.9033886212091,1494.0,1454.2,1461.25,1464.01,2217.6,1193.095,10.0,0.68305544,,,2026-03-05 09:34:02.008,,,,8.709604192222223,0,1474.01,SCHWAB_LAST_PRICE,NOT_NEEDED,,,50.96,50.96,47.846871534354264,52.047,48.09,46.118,46.624,50.416,31.0,2.0,80.0,86.66666666666667,,,,0.0021934615903669882,0.049043445173301135,0.08746777621998104,44.49734030548819,3.650855420527881,0.9174647700460745,,-3.1131284656457368,0.2431284656457393,-1.466000000000001,,INVERTED,,,,ROLLING_20D,0,Rising,Unknown,PARTIAL_MATURE,High Vol,Unknown,False,High Vol,High Vol,False,NORMAL,BASELINE,LOW,Neutral,7.317791907531397,-2.9650342456855348,Falling,35.82567357497071,55.84770277766332,Strong,60.753728208764635,True,,1.1973187693518392,OK,125,2026-03-04,Ascending Triangle,63.0,,,False,Bidirectional,2.7001173669106695,0.18852330243645815,49.77386934673359,NORMAL,NO_GAP,MID_RANGE,33.531295093795094,23.545065564770614,27.41958311574858,MID_RANGE,NEUTRAL,10.0,0.68305544,NORMAL,MODERATE,,False,2.700900296949129
TDG,2026-03-05 09:34:02.008,2026-03-05,,schwab,1282.3,82272.0,lastPrice,2026-03-05 17:33:20.567,2026-03-05 17:33:43.042,18.966,True,OPEN,OK,COMPUTED,,29.267,,28.447457779964395,29.398,27.816,27.816,,27.557,,27.522,,,,,,,,,,,,,,,,24.465529584756663,22.590862252230508,35.54257892973441,28.48642960096328,24.86510966340587,24.465529584756663,22.590862252230508,35.54257892973441,28.48642960096328,24.86510966340587,25.093815932711127,29.94129478207344,28.191980800913896,-11.077049344977745,Normal_Contraction,29.419201753336203,1310.43,1280.44,1307.68,1315.12,1623.825,1183.6,-32.82,-2.49558976,,,2026-03-05 09:34:02.008,,,,8.709604192222223,0,1282.3,SCHWAB_LAST_PRICE,NOT_NEEDED,,,30.985,30.985,28.41504694699623,29.105,27.651,27.651,27.807,27.225,30.0,2.0,90.0,93.33333333333334,,,,0.07178058792230803,0.152974110245333,,25.650889091170388,2.0826597894272743,1.327224864021588,,-2.5699530530037684,-0.7640469469962312,0.1559999999999988,,INVERTED,,,,ROLLING_20D,0,Rising,Unknown,PARTIAL_MATURE,High Vol,Unknown,False,High Vol,High Vol,False,NORMAL,BASELINE,LOW,Neutral,0.8492031722807202,-2.5847283680423643,Falling,18.775888619474852,47.16342980999772,Moderate,22.00719886748848,True,,0.7736086309613296,OK,125,2026-03-04,,0.0,Dark Cloud Cover,Moderate,False,Bidirectional,2.3387662793418085,0.5657278423261625,6.202067355784926,NORMAL,NO_GAP,NEAR_LOW,21.0321309254384,8.338965866846912,22.420353228462723,NEAR_52W_LOW,CONTRARIAN,-32.82,-2.49558976,STRONG_DOWN_DAY,LATE_SHORT,,False,-7.095121149770016
NFLX,2026-03-05 09:34:02.008,2026-03-05,,schwab,98.6624,25574238.0,lastPrice,2026-03-05 17:34:02.711,2026-03-05 17:34:01.689,0.319,True,OPEN,OK,COMPUTED,40.358,39.475,,37.806,38.894,36.3,40.535,,35.518,,33.748,,,,,,,,,,,,,,,,68.77563026006987,57.88995113103725,50.955458786668984,39.66621956398307,37.66254124256851,68.77563026006987,57.88995113103725,50.955458786668984,39.66621956398307,37.66254124256851,37.48901037224316,35.25766116511236,34.1860442042953,17.82017147340089,High_Expansion,55.567320105290506,100.19,98.1,98.5,98.66,134.115,75.01,0.0024,0.0024326,,,2026-03-05 09:34:02.008,,,,8.709604192222223,0,98.6624,SCHWAB_LAST_PRICE,NOT_NEEDED,,36.759,35.569,34.968,34.599,41.618,36.321,35.217,36.002,33.685,40.0,2.0,25.0,36.66666666666667,,,-0.20948387096774193,-0.09293729026845643,-0.1409737567346129,-0.12936861786279316,36.39783333333333,4.540358174260564,-0.3961875394613091,-2.1600000000000037,-0.3690000000000069,1.7220000000000013,-0.3189999999999955,-3.073999999999998,INVERTED,,,,ROLLING_20D,0,Falling,Unknown,PARTIAL_MATURE,Compression,Unknown,False,Compression,Compression,False,NORMAL,BASELINE,LOW,Bullish,18.798766978133123,13.98980492561663,Stable,33.33720635403625,73.85269671583885,Strong,74.14800819357667,True,,1.9612762046653092,OK,125,2026-03-04,,0.0,,,False,Bullish,2.1183348469123024,0.16217311980538882,26.909090909091386,NORMAL,NO_GAP,NEAR_LOW,26.4344778734668,31.532329022796958,40.01759580407749,MID_RANGE,NEUTRAL,0.0024,0.0024326,FLAT_DAY,EARLY,,False,-13.149458786668987
MTD,2026-03-05 09:34:02.008,2026-03-05,,schwab,1270.875,68607.0,lastPrice,2026-03-05 17:33:52.896,2026-03-05 17:33:57.957,4.051,True,OPEN,OK,COMPUTED,,33.951,,32.952031386818284,,,32.244,,33.584,,,,,,,,,,,,,,,,,,19.303916017104832,19.395665432107993,19.3947101709775,22.75426548866256,22.17531830976374,19.303916017104832,19.395665432107993,19.3947101709775,22.75426548866256,22.17531830976374,25.019222465215567,25.92746814560249,25.96456578265402,-0.0907941538726682,Normal_Compression,22.481918476964463,1293.5,1263.43,1268.99,1286.66,1525.17,946.69,-15.785,-1.22681983,,,2026-03-05 09:34:02.008,,,,8.709604192222223,0,1270.875,SCHWAB_LAST_PRICE,NOT_NEEDED,,,37.485,37.485,33.31770313640654,,,32.022,28.753,,30.0,2.0,90.0,93.33333333333334,,,,0.11718147525086485,0.19624095707333558,,30.22171619845962,2.6961383259737617,1.148304190523588,,-4.167296863593457,,,,INVERTED,,,,ROLLING_20D,0,Rising,Unknown,PARTIAL_MATURE,High Vol,Unknown,False,High Vol,High Vol,False,NORMAL,BASELINE,LOW,Bearish,-5.901023697341004,-8.475749125132696,Rising,27.20689158901037,27.553741697838912,Strong,19.37655869554191,True,,0.588023192503181,OK,125,2026-03-04,,0.0,Bearish Engulfing,Moderate,False,Bearish,2.3660863578243285,1.3733231778403052,24.758895909544236,NORMAL,NO_GAP,NEAR_LOW,16.673223312811032,34.24405032270331,56.0408311436869,MID_RANGE,NEUTRAL,-15.785,-1.22681983,NORMAL,MODERATE,,False,13.557321215840783
TPL,2026-03-05 09:34:02.008,2026-03-05,,schwab,522.22,145385.0,lastPrice,2026-03-05 17:33:49.656,2026-03-05 17:34:02.742,-0.734,True,OPEN,OK,COMPUTED,,51.181,,48.82272841617928,,,46.574,,44.825,,,,,,,,,,,,,,,,,,45.20192596555456,54.740271438712426,49.9980195406658,50.09860843501423,49.0149649230168,45.20192596555456,54.740271438712426,49.9980195406658,50.09860843501423,49.0149649230168,46.22325969013643,45.78179384573123,43.94536427972254,-4.796093575111243,High_Compression,54.30249611679107,543.99,520.93,532.75,536.11,547.2,269.2333,-13.89,-2.5908862,,,2026-03-05 09:34:02.008,,,,8.709604192222223,0,522.22,SCHWAB_LAST_PRICE,NOT_NEEDED,,,52.482,52.482,49.41081306252712,,,47.387,45.564,,20.0,2.0,55.0,,,,,-0.08567914985793894,-0.0017009180214746105,,,,,,-3.0711869374728806,,,,INVERTED,,,,ROLLING_20D,0,Falling,Unknown,IMMATURE,Unknown,Unknown,False,Unknown,Unknown,False,NORMAL,BASELINE,LOW,Bullish,17.59931648454578,43.567641565873046,Falling,58.64627921452188,79.24754900104463,Strong,62.396552414265535,True,,1.2780226431095574,OK,125,2026-03-04,Ascending Triangle,63.0,Bullish Engulfing,Strong,True,Bullish,4.415763471333932,0.626737050232231,5.59410234171758,NORMAL,NO_GAP,NEAR_LOW,4.5650584795321665,93.96560529473882,91.01331202622472,MID_RANGE,NEUTRAL,-13.89,-2.5908862,STRONG_DOWN_DAY,LATE_SHORT,,False,-1.1752911244865203
